Winner, Curr Turn Player, X_Tiles, X_Moves, X_LM, O_Tiles, O_Moves, O_LM,
X, O, 15, 13, 10, 19, 13, 13
O, O, 18, 13, 21, 16, 13, 13
X, O, 19, 13, 15, 15, 13, 10
X, O, 16, 13, 18, 18, 13, 14
O, X, 17, 13, 19, 18, 14, 7
X, O, 20, 13, 8, 14, 13, 10
X, O, 16, 13, 17, 18, 13, 10
X, X, 15, 13, 6, 20, 14, 9
X, O, 17, 13, 15, 17, 13, 9
X, X, 15, 13, 10, 20, 14, 10
O, O, 20, 13, 7, 14, 13, 12
X, X, 14, 13, 17, 21, 14, 4
O, O, 20, 13, 15, 14, 13, 17
X, X, 17, 13, 15, 18, 14, 14
X, O, 17, 13, 10, 17, 13, 11
O, X, 16, 13, 9, 19, 14, 16
X, O, 17, 13, 12, 17, 13, 6
X, X, 16, 13, 17, 19, 14, 7
D, O, 18, 13, 11, 16, 13, 11
X, O, 20, 13, 14, 14, 13, 14
X, X, 16, 13, 7, 19, 14, 6
X, O, 23, 13, 14, 11, 13, 10
X, X, 13, 13, 17, 22, 14, 8
O, O, 20, 13, 9, 14, 13, 15
O, O, 14, 13, 6, 20, 13, 9
X, O, 13, 13, 9, 21, 13, 3
X, O, 21, 13, 10, 13, 13, 14
X, X, 16, 13, 17, 19, 14, 11
X, O, 20, 13, 17, 14, 13, 13
X, X, 15, 13, 13, 20, 14, 8
X, O, 18, 13, 13, 16, 13, 12
X, X, 12, 13, 9, 23, 14, 16
X, O, 19, 13, 13, 15, 13, 8
X, X, 19, 13, 8, 16, 14, 10
X, O, 19, 13, 12, 15, 13, 16
X, X, 21, 13, 13, 14, 14, 11
O, O, 17, 13, 9, 17, 13, 14
X, O, 22, 13, 7, 12, 13, 3
X, O, 19, 13, 14, 15, 13, 10
O, X, 8, 13, 14, 27, 14, 3
O, X, 11, 12, 4, 23, 14, 11
X, X, 18, 13, 16, 17, 14, 14
X, O, 16, 13, 11, 18, 13, 10
X, X, 13, 13, 8, 22, 14, 10
O, O, 16, 13, 8, 18, 13, 18
X, X, 15, 13, 15, 20, 14, 8
X, O, 17, 13, 10, 17, 13, 2
X, X, 19, 13, 10, 16, 14, 13
O, O, 18, 13, 11, 16, 13, 16
X, X, 15, 13, 10, 20, 14, 8
X, O, 19, 13, 14, 15, 13, 6
O, X, 16, 13, 13, 19, 14, 15
X, O, 18, 13, 14, 16, 13, 4
X, X, 15, 13, 15, 20, 14, 16
X, O, 18, 13, 11, 16, 13, 7
X, O, 17, 13, 4, 17, 13, 9
O, X, 16, 13, 12, 19, 14, 9
X, O, 19, 13, 15, 15, 13, 12
X, X, 10, 13, 10, 25, 14, 7
O, O, 17, 13, 13, 17, 13, 5
O, X, 11, 13, 14, 24, 14, 6
X, O, 18, 13, 10, 16, 13, 8
O, X, 11, 13, 12, 24, 14, 10
X, O, 25, 13, 9, 9, 13, 7
O, X, 18, 13, 8, 17, 14, 8
X, O, 18, 13, 7, 16, 13, 4
X, X, 20, 13, 14, 15, 14, 13
X, O, 19, 13, 10, 15, 13, 6
X, X, 17, 13, 12, 18, 14, 4
X, O, 16, 13, 14, 18, 13, 9
O, X, 15, 13, 11, 20, 14, 12
O, O, 14, 13, 12, 20, 13, 11
X, X, 18, 13, 10, 17, 14, 11
X, O, 17, 13, 15, 17, 13, 12
O, X, 9, 13, 14, 26, 14, 7
O, O, 15, 13, 12, 19, 13, 6
X, X, 23, 13, 13, 12, 14, 5
O, O, 15, 13, 6, 19, 13, 10
X, O, 21, 14, 8, 14, 13, 6
X, O, 17, 13, 17, 17, 13, 16
X, O, 24, 13, 13, 18, 13, 20
X, O, 26, 13, 14, 14, 13, 14
X, X, 20, 13, 10, 15, 14, 7
X, O, 20, 13, 19, 17, 13, 13
O, X, 18, 13, 8, 17, 14, 12
X, O, 20, 13, 15, 14, 13, 11
X, X, 16, 13, 13, 19, 14, 12
O, O, 16, 13, 7, 18, 13, 8
X, O, 24, 13, 10, 15, 13, 13
X, X, 18, 13, 21, 25, 14, 14
