Winner, Curr Turn Player, X_Tiles, X_Moves, X_LM, O_Tiles, O_Moves, O_LM,
X, X, 37, 45, 17, 62, 46, 10
O, X, 55, 45, 10, 44, 46, 7
X, X, 63, 45, 11, 36, 46, 9
X, X, 49, 45, 16, 50, 46, 7
O, O, 35, 46, 13, 65, 46, 13
X, X, 56, 45, 11, 43, 46, 9
X, X, 68, 45, 11, 31, 46, 7
X, O, 51, 46, 20, 49, 46, 16
X, X, 54, 45, 18, 45, 46, 13
X, O, 59, 46, 13, 41, 46, 12
O, O, 39, 45, 8, 60, 46, 14
X, O, 62, 46, 7, 38, 46, 14
O, X, 40, 45, 16, 59, 46, 17
X, O, 46, 46, 15, 54, 46, 8
X, X, 66, 45, 12, 33, 46, 11
O, O, 17, 45, 4, 83, 47, 14
X, X, 49, 45, 21, 50, 46, 3
X, O, 59, 46, 10, 41, 46, 12
D, O, 58, 46, 11, 41, 45, 12
X, X, 46, 45, 20, 53, 46, 16
X, X, 65, 46, 9, 35, 46, 7
X, X, 50, 45, 15, 49, 46, 10
X, O, 68, 46, 10, 32, 46, 10
O, X, 38, 45, 11, 61, 46, 23
O, X, 30, 45, 11, 69, 46, 14
X, X, 63, 45, 9, 36, 46, 12
X, X, 58, 45, 12, 41, 46, 14
X, O, 62, 46, 16, 38, 46, 8
X, X, 48, 45, 24, 51, 46, 3
X, O, 49, 46, 15, 51, 46, 19
X, X, 63, 45, 11, 36, 46, 16
X, O, 48, 46, 8, 52, 46, 18
X, X, 72, 45, 13, 27, 46, 15
X, O, 44, 46, 16, 56, 46, 11
X, X, 51, 45, 15, 48, 46, 13
X, O, 69, 46, 8, 31, 46, 14
O, X, 45, 45, 13, 54, 46, 11
X, X, 58, 45, 12, 41, 46, 12
X, X, 61, 45, 16, 38, 46, 9
O, O, 43, 46, 11, 57, 46, 9
O, O, 39, 45, 10, 60, 46, 7
X, O, 71, 46, 16, 29, 46, 15
X, X, 61, 45, 8, 38, 46, 16
X, O, 69, 46, 18, 31, 46, 7
O, X, 46, 45, 10, 53, 46, 7
X, O, 41, 46, 18, 59, 46, 11
X, X, 72, 47, 9, 27, 44, 6
X, O, 58, 46, 17, 42, 46, 18
O, X, 40, 45, 21, 59, 46, 13
X, O, 74, 47, 19, 26, 45, 5
X, X, 72, 45, 18, 27, 46, 16
O, O, 39, 46, 13, 61, 46, 16
X, X, 61, 45, 28, 38, 46, 13
X, O, 60, 46, 13, 40, 46, 2
X, X, 54, 45, 21, 45, 46, 17
X, X, 64, 45, 14, 35, 46, 9
O, O, 58, 46, 8, 42, 46, 13
X, X, 68, 45, 12, 31, 46, 17
X, O, 73, 46, 11, 27, 46, 7
O, X, 34, 45, 2, 65, 46, 17
O, O, 51, 46, 10, 49, 46, 17
X, O, 69, 46, 18, 30, 45, 11
O, O, 41, 46, 16, 59, 46, 12
